ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
1,The Shawshank Redemption,1994,9.3,Drama,2011509,Frank Darabont,142,28.34
2,The Dark Knight,2008,9,"Acción, Crimen, Drama",1980200,Christopher Nolan,152,534.86
3,Inception,2010,8.8,"Acción, Aventura, Ciencia Ficción",1760209,Christopher Nolan,148,292.58
4,Fight Club,1999,8.8,Drama,1609459,David Fincher,139,37.03
5,Pulp Fiction,1994,8.9,"Crimen, Drama",1570194,Quentin Tarantino,154,107.93
6,Forrest Gump,1994,8.8,"Drama, Romántica",1532024,Robert Zemeckis,142,330.25
7,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Aventura, Drama, Fantasía",1448561,Peter Jackson,178,315.54
8,The Matrix,1999,8.7,"Acción, Ciencia Ficción",1443130,Lana Wachowski,136,171.48
9,The Lord of the Rings: The Return of the King,2003,8.9,"Acción, Aventura, Drama",1431887,Peter Jackson,201,377.85
10,The Godfather,1972,9.2,"Crimen, Drama",1378253,Francis Ford Coppola,175,134.97
11,The Dark Knight Rises,2012,8.4,"Acción, Suspenso",1338413,Christopher Nolan,164,448.14
12,The Lord of the Rings: The Two Towers,2002,8.7,"Aventura, Drama, Fantasía",1294351,Peter Jackson,179,342.55
13,Se7en,1995,8.6,"Crimen, Drama, Misterio",1229411,David Fincher,127,100.13
14,Interstellar,2014,8.6,"Aventura, Drama, Ciencia Ficción",1223159,Christopher Nolan,169,188.02
15,Gladiator,2000,8.5,"Acción, Aventura, Drama",1162557,Ridley Scott,155,187.71
16,Django Unchained,2012,8.4,"Drama, Oeste",1159647,Quentin Tarantino,165,162.81
17,Batman Begins,2005,8.3,"Acción, Aventura, Suspenso",1150820,Christopher Nolan,140,206.85
18,Avengers Assemble,2012,8.1,"Acción, Aventura, Ciencia Ficción",1130818,Joss Whedon,143,623.36
19,Star Wars: Episode IV - A New Hope,1977,8.6,"Acción, Aventura, Fantasía",1080484,George Lucas,121,322.74
20,The Silence of the Lambs,1991,8.6,"Crimen, Drama, Suspenso",1079027,Jonathan Demme,118,130.74
21,Inglourious Basterds,2009,8.3,"Aventura, Drama, Guerra",1072040,Quentin Tarantino,153,120.54
22,Saving Private Ryan,1998,8.6,"Drama, Guerra",1060126,Steven Spielberg,169,216.54
23,Schindler's List,1993,8.9,"Biografía, Drama, Histórico",1038237,Steven Spielberg,195,96.07
24,The Departed,2006,8.5,"Crimen, Drama, Suspenso",1034138,Martin Scorsese,151,132.38
25,The Prestige,2006,8.5,"Drama, Misterio, Ciencia Ficción",1022475,Christopher Nolan,130,53.09
26,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,"Acción, Aventura, Fantasía",1010230,Irvin Kershner,124,290.48
27,Avatar,2009,7.8,"Acción, Aventura, Fantasía",1007157,James Cameron,162,760.51
28,Memento,2000,8.5,"Misterio, Suspenso",997174,Christopher Nolan,113,25.54
29,The Wolf of Wall Street,2013,8.2,"Biografía, Comedia, Crimen",983338,Martin Scorsese,180,116.9
30,The Green Mile,1999,8.5,"Crimen, Drama, Fantasía",962692,Frank Darabont,189,136.8
31,Shutter Island,2010,8.1,"Misterio, Suspenso",961772,Martin Scorsese,138,128.01
32,American Beauty,1999,8.4,Drama,959669,Sam Mendes,122,130.1
33,The Godfather: Part II,1974,9,"Crimen, Drama",954273,Francis Ford Coppola,202,57.3
34,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,"Acción, Aventura, Fantasía",937648,Gore Verbinski,143,305.41
35,V for Vendetta,2005,8.2,"Acción, Drama, Ciencia Ficción",924075,James McTeigue,132,70.51
36,American History X,1998,8.5,"Crimen, Drama",917322,Tony Kaye,119,6.72
37,Titanic,1997,7.8,"Drama, Romántica",916429,James Cameron,194,659.33
38,Back to the Future,1985,8.5,"Aventura, Comedia, Ciencia Ficción",890767,Robert Zemeckis,116,210.61
39,Guardians of the Galaxy,2014,8.1,"Acción, Aventura, Comedia",883295,James Gunn,121,333.18
40,Leon,1994,8.6,"Crimen, Drama, Suspenso",882106,Luc Besson,110,19.5
41,The Usual Suspects,1995,8.6,"Crimen, Misterio, Suspenso",873083,Bryan Singer,106,23.34
42,Terminator 2: Judgment Day,1991,8.5,"Acción, Ciencia Ficción",872431,James Cameron,137,204.84
43,Kill Bill: Vol. 1,2003,8.1,"Acción, Crimen, Suspenso",870077,Quentin Tarantino,111,70.1
44,WALL·E,2008,8.4,"Animación, Aventura, Familiar",869198,Andrew Stanton,98,223.81
45,Goodfellas,1990,8.7,"Crimen, Drama",866809,Martin Scorsese,146,46.84
46,Braveheart,1995,8.4,"Biografía, Drama, Histórico",864362,Mel Gibson,178,75.6
47,Finding Nemo,2003,8.1,"Animación, Aventura, Comedia",833650,Andrew Stanton,100,380.84
48,Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Acción, Aventura, Fantasía",829263,Richard Marquand,131,309.13
49,The Sixth Sense,1999,8.1,"Drama, Misterio, Suspenso",817611,M. Night Shyamalan,107,293.51
50,Iron Man,2008,7.9,"Acción, Aventura, Ciencia Ficción",816146,Jon Favreau,126,318.41
51,Up,2009,8.3,"Animación, Aventura, Comedia",808692,Pete Docter,96,293
52,The Truman Show,1998,8.1,"Comedia, Drama, Ciencia Ficción",803859,Peter Weir,103,125.62
53,One Flew Over the Cuckoo's Nest,1975,8.7,Drama,799024,Milos Forman,133,112
54,Eternal Sunshine of the Spotless Mind,2004,8.3,"Drama, Romántica, Ciencia Ficción",793535,Michel Gondry,108,34.4
55,The Lion King,1994,8.5,"Animación, Aventura, Drama",792564,Roger Allers,88,312.9
56,Reservoir Dogs,1992,8.3,"Crimen, Drama, Suspenso",791309,Quentin Tarantino,99,2.83
57,Raiders of the Lost Ark,1981,8.5,"Acción, Aventura",778688,Steven Spielberg,115,248.16
58,The Hunger Games,2012,7.2,"Aventura, Ciencia Ficción, Suspenso",777498,Gary Ross,142,408.01
59,Deadpool,2016,8,"Acción, Aventura, Comedia",771725,Tim Miller,108,363.07
60,Star Wars: Episode VII - The Force Awakens,2015,8,"Acción, Aventura, Fantasía",758028,J.J. Abrams,136,936.66
61,Toy Story,1995,8.3,"Animación, Aventura, Comedia",756726,John Lasseter,81,191.8
62,Jurassic Park,1993,8.1,"Aventura, Ciencia Ficción, Suspenso",751094,Steven Spielberg,127,402.45
63,The Shining,1980,8.4,"Drama, Horror",745066,Stanley Kubrick,146,44.02
64,Mad Max: Fury Road,2015,8.1,"Acción, Aventura, Ciencia Ficción",741818,George Miller,120,153.64
65,A Beautiful Mind,2001,8.2,"Biografía, Drama",740906,Ron Howard,135,170.74
66,No Country for Old Men,2007,8.1,"Crimen, Drama, Suspenso",736399,Ethan Coen,122,74.28
67,Good Will Hunting,1997,8.3,"Drama, Romántica",735338,Gus Van Sant,126,138.43
68,Gone Girl,2014,8.1,"Crimen, Drama, Misterio",725771,David Fincher,149,167.77
69,Slumdog Millionaire,2008,8,"Drama, Romántica",725665,Danny Boyle,120,141.32
70,"Monsters, Inc.",2001,8.1,"Animación, Aventura, Comedia",708404,Pete Docter,92,289.92
71,Sin City,2005,8,"Crimen, Suspenso",705925,Frank Miller,124,74.1
72,The Hobbit: An Unexpected Journey,2012,7.9,"Aventura, Familiar, Fantasía",704137,Peter Jackson,169,303
73,The Terminator,1984,8,"Acción, Ciencia Ficción",703540,James Cameron,107,38.4
74,Snatch,2000,8.3,"Comedia, Crimen",696147,Guy Ritchie,104,30.33
75,Die Hard,1988,8.2,"Acción, Suspenso",693516,John McTiernan,132,83.01
76,Alien,1979,8.5,"Horror, Ciencia Ficción",686308,Ridley Scott,116,78.9
77,Gravity,2013,7.7,"Drama, Ciencia Ficción, Suspenso",680946,Alfonso Cuarón,91,274.09
78,Catch Me If You Can,2002,8.1,"Biografía, Crimen, Drama",680924,Steven Spielberg,141,164.62
79,Donnie Darko,2001,8.1,"Drama, Ciencia Ficción, Suspenso",678546,Richard Kelly,113,1.48
80,Requiem for a Dream,2000,8.3,Drama,676482,Darren Aronofsky,102,3.64
81,300,2006,7.7,"Acción, Fantasía",675043,Zack Snyder,117,210.61
82,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Aventura, Drama, Fantasía",662998,David Yates,130,381.01
83,A Clockwork Orange,1971,8.3,"Crimen, Drama, Ciencia Ficción",662768,Stanley Kubrick,136,NA
84,Iron Man 3,2013,7.2,"Acción, Aventura, Ciencia Ficción",654177,Shane Black,130,409.01
85,Toy Story 3,2010,8.3,"Animación, Aventura, Comedia",653627,Lee Unkrich,103,415
86,The Hangover,2009,7.7,Comedia,650821,Todd Phillips,100,277.32
87,Gran Torino,2008,8.1,Drama,650579,Clint Eastwood,116,148.1
88,Thor,2011,7,"Acción, Aventura, Fantasía",641916,Kenneth Branagh,115,181.03
89,The Martian,2015,8,"Aventura, Drama, Ciencia Ficción",641508,Ridley Scott,144,228.43
90,Untouchable,2011,8.5,"Biografía, Comedia, Drama",640539,Olivier Nakache,112,13.18
91,Scarface,1983,8.3,"Crimen, Drama",638566,Brian De Palma,170,45.6
92,The Big Lebowski,1998,8.1,"Comedia, Crimen",636671,Joel Coen,117,17.5
93,Star Wars: Episode I - The Phantom Menace,1999,6.5,"Acción, Aventura, Fantasía",631142,George Lucas,136,474.54
94,Amélie,2001,8.3,"Comedia, Romántica",630513,Jean-Pierre Jeunet,122,33.23
95,Black Swan,2010,8,"Drama, Suspenso",627692,Darren Aronofsky,108,106.95
96,Man of Steel,2013,7.1,"Acción, Aventura, Fantasía",626172,Zack Snyder,143,291.05
97,City of God,2002,8.6,"Crimen, Drama",621575,Fernando Meirelles,130,7.56
98,Captain America: The First Avenger,2011,6.9,"Acción, Aventura, Ciencia Ficción",620932,Joe Johnston,124,176.65
99,Captain America: The Winter Soldier,2014,7.8,"Acción, Aventura, Ciencia Ficción",620901,Anthony Russo,136,259.77
100,Spider-Man,2002,7.3,"Acción, Aventura, Ciencia Ficción",619601,Sam Raimi,121,403.71
101,Iron Man 2,2010,7,"Acción, Ciencia Ficción",618858,Jon Favreau,124,312.43
102,Star Wars: Episode III - Revenge of the Sith,2005,7.6,"Acción, Aventura, Fantasía",616951,George Lucas,140,380.26
103,I Am Legend,2007,7.2,"Drama, Horror, Ciencia Ficción",614342,Francis Lawrence,101,256.39
104,Taxi Driver,1976,8.3,"Crimen, Drama",611197,Martin Scorsese,114,28.26
105,Avengers: Age of Ultron,2015,7.4,"Acción, Aventura, Ciencia Ficción",610673,Joss Whedon,141,459.01
106,The Pianist,2002,8.5,"Biografía, Drama, Música",610645,Roman Polanski,150,32.57
107,Indiana Jones and the Last Crusade,1989,8.3,"Acción, Aventura, Fantasía",609450,Steven Spielberg,127,197.17
108,The Grand Budapest Hotel,2014,8.1,"Aventura, Comedia, Drama",606255,Wes Anderson,99,59.1
109,Silver Linings Playbook,2012,7.7,"Comedia, Drama, Romántica",604275,David O. Russell,122,132.09
110,Blade Runner,1982,8.2,"Ciencia Ficción, Suspenso",603815,Ridley Scott,117,27
111,X-Men: Days of Future Past,2014,8,"Acción, Aventura, Ciencia Ficción",598473,Bryan Singer,132,233.92
112,"The Good, the Bad and the Ugly",1966,8.9,Oeste,596164,Sergio Leone,148,6.1
113,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,"Acción, Aventura, Fantasía",596150,Gore Verbinski,151,423.32
114,The Imitation Game,2014,8,"Biografía, Drama, Suspenso",591544,Morten Tyldum,114,91.13
115,Kill Bill: Vol. 2,2004,8,"Acción, Crimen, Suspenso",590542,Quentin Tarantino,137,66.21
116,District 9,2009,7.9,"Ciencia Ficción, Suspenso",590110,Neill Blomkamp,112,115.65
117,X: First Class,2011,7.7,"Acción, Aventura, Ciencia Ficción",589880,Matthew Vaughn,131,146.41
118,Full Metal Jacket,1987,8.3,"Drama, Guerra",584943,Stanley Kubrick,116,46.36
119,How to Train Your Dragon,2010,8.1,"Animación, Acción, Aventura",582998,Dean DeBlois,98,217.58
120,The Revenant,2015,8,"Acción, Aventura, Biografía",581502,Alejandro G. Iñárritu,156,183.64
121,Aliens,1986,8.4,"Acción, Aventura, Ciencia Ficción",580304,James Cameron,137,85.16
122,Skyfall,2012,7.8,"Acción, Aventura, Suspenso",578739,Sam Mendes,143,304.36
123,Whiplash,2014,8.5,"Drama, Música",576916,Damien Chazelle,106,13.09
124,The King's Speech,2010,8,"Biografía, Drama, Histórico",575226,Tom Hooper,118,138.8
125,The Incredibles,2004,8,"Animación, Acción, Aventura",571155,Brad Bird,115,261.44
126,Trainspotting,1996,8.2,Drama,570676,Danny Boyle,93,16.5
127,The Bourne Ultimatum,2007,8,"Acción, Misterio, Suspenso",569967,Paul Greengrass,115,227.47
128,Million Dollar Baby,2004,8.1,"Drama, Deportes",568459,Clint Eastwood,132,100.49
129,12 Angry Men,1957,8.9,"Crimen, Drama",563791,Sidney Lumet,96,4.36
130,The Hunger Games: Catching Fire,2013,7.5,"Acción, Aventura, Misterio",560434,Francis Lawrence,146,424.67
131,Transformers,2007,7.1,"Acción, Aventura, Ciencia Ficción",558143,Michael Bay,144,319.07
132,12 Years a Slave,2013,8.1,"Biografía, Drama, Histórico",553594,Steve McQueen,134,56.67
133,Star Wars: Episode II - Attack of the Clones,2002,6.6,"Acción, Aventura, Fantasía",553222,George Lucas,142,310.68
134,Pan's Labyrinth,2006,8.2,"Drama, Fantasía, Guerra",553035,Guillermo del Toro,118,37.63
135,The Social Network,2010,7.7,"Biografía, Drama",552602,David Fincher,120,96.96
136,Ratatouille,2007,8,"Animación, Aventura, Comedia",552488,Brad Bird,111,206.45
137,The Hobbit: The Desolation of Smaug,2013,7.8,"Aventura, Fantasía",550643,Peter Jackson,161,258.37
138,Batman v Superman: Dawn of Justice,2016,6.5,"Acción, Aventura, Fantasía",550363,Zack Snyder,151,330.36
139,Star Trek,2009,8,"Acción, Aventura, Ciencia Ficción",548626,J.J. Abrams,127,257.73
140,Fargo,1996,8.1,"Crimen, Drama, Suspenso",541549,Joel Coen,98,24.61
141,Harry Potter and the Philosopher's Stone,2001,7.6,"Aventura, Familiar, Fantasía",541278,Chris Columbus,152,317.58
142,Pirates of the Caribbean: At World's End,2007,7.1,"Acción, Aventura, Fantasía",540769,Gore Verbinski,169,309.42
143,Shrek,2001,7.9,"Animación, Aventura, Comedia",538286,Andrew Adamson,90,267.67
144,World War Z,2013,7,"Acción, Aventura, Horror",536072,Marc Forster,116,202.36
145,Now You See Me,2013,7.3,"Crimen, Misterio, Suspenso",535029,Louis Leterrier,115,117.72
146,Sherlock Holmes,2009,7.6,"Acción, Aventura, Crimen",534963,Guy Ritchie,128,209.03
147,Captain America: Civil War,2016,7.8,"Acción, Aventura, Ciencia Ficción",529435,Anthony Russo,147,408.08
148,Spirited Away,2001,8.6,"Animación, Aventura, Familiar",529063,Hayao Miyazaki,125,10.06
149,Twelve Monkeys,1995,8,"Misterio, Ciencia Ficción, Suspenso",529038,Terry Gilliam,129,57.14
150,Taken,2008,7.8,"Acción, Crimen, Suspenso",528015,Pierre Morel,93,145
151,Apocalypse Now,1979,8.5,"Drama, Guerra",527542,Francis Ford Coppola,147,83.47
152,Prometheus,2012,7,"Aventura, Misterio, Ciencia Ficción",526640,Ridley Scott,124,126.48
153,Casino Royale,2006,8,"Acción, Aventura, Suspenso",525565,Martin Campbell,144,167.45
154,La vita è bella,1997,8.6,"Comedia, Drama, Romántica",525528,Roberto Benigni,116,57.6
155,Edge of Tomorrow,2014,7.9,"Acción, Ciencia Ficción",525439,Doug Liman,113,100.21
156,Ted,2012,6.9,"Comedia, Fantasía",525166,Seth MacFarlane,106,218.82
157,Groundhog Day,1993,8,"Comedia, Fantasía, Romántica",523083,Harold Ramis,101,70.91
158,The Curious Case of Benjamin Button,2008,7.8,"Drama, Fantasía, Romántica",523001,David Fincher,166,127.51
159,Kingsman: The Secret Service,2014,7.7,"Acción, Aventura, Comedia",522404,Matthew Vaughn,129,128.26
160,Argo,2012,7.7,"Biografía, Drama, Suspenso",520268,Ben Affleck,120,136.03
161,2001: A Space Odyssey,1968,8.3,"Aventura, Ciencia Ficción",519401,Stanley Kubrick,149,56.95
162,X-Men,2000,7.4,"Acción, Aventura, Ciencia Ficción",518794,Bryan Singer,104,157.3
163,Jurassic World,2015,7,"Acción, Aventura, Ciencia Ficción",517994,Colin Trevorrow,124,652.27
164,Logan,2017,8.1,"Acción, Drama, Ciencia Ficción",516939,James Mangold,137,226.28
165,Avengers: Infinity War,2018,8.6,"Acción, Aventura, Fantasía",515214,Anthony Russo,149,678.82
166,Life of Pi,2012,7.9,"Aventura, Drama, Fantasía",515029,Ang Lee,127,124.99
167,Psycho,1960,8.5,"Horror, Misterio, Suspenso",513004,Alfred Hitchcock,109,32
168,The Amazing Spider-Man,2012,7,"Acción, Aventura, Ciencia Ficción",509946,Marc Webb,136,262.03
169,Into the Wild,2007,8.1,"Aventura, Biografía, Drama",508614,Sean Penn,148,18.35
170,Heat,1995,8.2,"Crimen, Drama, Suspenso",506545,Michael Mann,170,67.44
171,Thor: The Dark World,2013,7,"Acción, Aventura, Fantasía",506030,Alan Taylor,112,206.36
172,Drive,2011,7.8,"Crimen, Drama",504604,Nicolas Winding Refn,100,35.06
173,Inside Out,2015,8.2,"Animación, Aventura, Comedia",504101,Pete Docter,95,356.46
174,Prisoners,2013,8.1,"Crimen, Drama, Misterio",502051,Denis Villeneuve,153,61
175,Suicide Squad,2016,6.1,"Acción, Aventura, Fantasía",499494,David Ayer,123,325.1
176,Frozen,2013,7.5,"Animación, Aventura, Comedia",496031,Chris Buck,102,400.74
177,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,"Comedia, Drama",495330,Alejandro G. Iñárritu,119,42.34
178,Jaws,1975,8,"Aventura, Drama, Suspenso",493026,Steven Spielberg,124,260
179,Looper,2012,7.4,"Acción, Crimen, Drama",486278,Rian Johnson,113,66.49
180,Kick-Ass,2010,7.6,"Acción, Comedia",485411,Matthew Vaughn,117,48.07
181,Independence Day,1996,7,"Acción, Aventura, Ciencia Ficción",482456,Roland Emmerich,145,306.17
182,Spider-Man 2,2004,7.3,"Acción, Aventura, Ciencia Ficción",481570,Sam Raimi,127,373.59
183,"Lock, Stock and Two Smoking Barrels",1998,8.2,"Comedia, Crimen",478907,Guy Ritchie,107,3.9
184,L.A. Confidential,1997,8.3,"Crimen, Drama, Misterio",478688,Curtis Hanson,138,64.62
185,Limitless,2011,7.4,"Misterio, Ciencia Ficción, Suspenso",477138,Neil Burger,105,79.25
186,Arrival,2016,7.9,"Drama, Misterio, Ciencia Ficción",476502,Denis Villeneuve,116,100.55
187,Superbad,2007,7.6,Comedia,470567,Greg Mottola,113,121.46
188,Harry Potter and the Chamber of Secrets,2002,7.4,"Aventura, Familiar, Fantasía",467717,Chris Columbus,161,261.99
189,Matrix Reloaded,2003,7.2,"Acción, Ciencia Ficción",466144,Lana Wachowski,138,281.49
190,X-Men 2,2003,7.5,"Acción, Aventura, Ciencia Ficción",465541,Bryan Singer,134,214.95
191,21 Jump Street,2012,7.2,"Acción, Comedia, Crimen",464483,Phil Lord,109,138.45
192,Harry Potter and the Goblet of Fire,2005,7.7,"Aventura, Familiar, Fantasía",463911,Mike Newell,157,290.01
193,Harry Potter and the Prisoner of Azkaban,2004,7.9,"Aventura, Familiar, Fantasía",463525,Alfonso Cuarón,142,249.36
194,The Bourne Identity,2002,7.9,"Acción, Misterio, Suspenso",463379,Doug Liman,119,121.66
195,Rise of the Planet of the Apes,2011,7.6,"Acción, Drama, Ciencia Ficción",462325,Rupert Wyatt,105,176.76
196,Ocean's Eleven,2001,7.8,"Crimen, Suspenso",461381,Steven Soderbergh,116,183.42
197,Men in Black,1997,7.3,"Aventura, Comedia, Misterio",459934,Barry Sonnenfeld,98,250.69
198,Casablanca,1942,8.5,"Drama, Romántica, Guerra",458443,Michael Curtiz,102,1.02
199,The Notebook,2004,7.9,"Drama, Romántica",456973,Nick Cassavetes,123,81
200,Cast Away,2000,7.8,"Aventura, Drama, Romántica",456944,Robert Zemeckis,143,233.63
201,Doctor Strange,2016,7.5,"Acción, Aventura, Fantasía",456589,Scott Derrickson,115,232.64
202,Juno,2007,7.5,"Comedia, Drama",456317,Jason Reitman,96,143.5
203,Ant-Man,2015,7.3,"Acción, Aventura, Comedia",455874,Peyton Reed,117,180.2
204,Minority Report,2002,7.7,"Acción, Aventura, Crimen",455854,Steven Spielberg,145,132.07
205,Shaun of the Dead,2004,7.9,"Comedia, Horror",454096,Edgar Wright,99,13.54
206,Rocky,1976,8.1,"Drama, Deportes",454014,John G. Avildsen,120,117.24
207,Blood Diamond,2006,8,"Aventura, Drama, Suspenso",451057,Edward Zwick,143,57.37
208,Toy Story 2,1999,7.9,"Animación, Aventura, Comedia",448889,John Lasseter,92,245.85
209,"I, Robot",2004,7.1,"Acción, Crimen, Drama",448795,Alex Proyas,115,144.8
210,Despicable Me,2010,7.7,"Animación, Comedia, Familiar",447381,Pierre Coffin,95,251.51
211,Rogue One,2016,7.8,"Acción, Aventura, Ciencia Ficción",447193,Gareth Edwards,133,532.18
212,There Will Be Blood,2007,8.1,Drama,447035,Paul Thomas Anderson,158,40.22
213,Monty Python and the Holy Grail,1975,8.3,"Aventura, Comedia, Fantasía",444846,Terry Gilliam,91,1.23
214,Spider-Man 3,2007,6.2,"Acción, Aventura, Ciencia Ficción",444253,Sam Raimi,139,336.53
215,Her,2013,8,"Drama, Romántica, Ciencia Ficción",443968,Spike Jonze,126,25.57
216,Wonder Woman,2017,7.5,"Acción, Aventura, Fantasía",443735,Patty Jenkins,141,412.56
217,Zombieland,2009,7.7,"Aventura, Comedia, Horror",442996,Ruben Fleischer,88,75.59
218,Watchmen,2009,7.6,"Acción, Drama, Misterio",440466,Zack Snyder,162,107.51
219,Oblivion,2013,7,"Acción, Aventura, Misterio",440385,Joseph Kosinski,124,89.02
220,Source Code,2011,7.5,"Misterio, Romántica, Ciencia Ficción",438969,Duncan Jones,93,54.71
221,Oldeuboi,2003,8.4,"Acción, Drama, Misterio",438781,Chan-wook Park,120,0.71
222,Star Trek into Darkness,2013,7.7,"Acción, Aventura, Ciencia Ficción",438358,J.J. Abrams,132,228.78
223,X-Men: The Last Stand,2006,6.7,"Acción, Aventura, Ciencia Ficción",437480,Brett Ratner,104,234.36
224,Troy,2004,7.2,"Drama, Histórico, Romántica",437298,Wolfgang Petersen,163,133.38
225,Pacific Rim,2013,6.9,"Acción, Aventura, Ciencia Ficción",433774,Guillermo del Toro,131,101.8
226,Pirates of the Caribbean: On Stranger Tides,2011,6.6,"Acción, Aventura, Fantasía",433283,Rob Marshall,136,241.07
227,Rain Man,1988,8,Drama,429976,Barry Levinson,133,172.83
228,Harry Potter and the Order of the Phoenix,2007,7.5,"Aventura, Familiar, Fantasía",429727,David Yates,138,292
229,500 Days of Summer,2009,7.7,"Comedia, Drama, Romántica",429267,Marc Webb,95,32.39
230,Dunkirk,2017,7.9,"Acción, Drama, Histórico",426292,Christopher Nolan,106,188.37
231,"Crazy, Stupid, Love.",2011,7.4,"Comedia, Drama, Romántica",425849,Glenn Ficarra,118,84.35
232,Star Wars: Episode VIII - The Last Jedi,2017,7.2,"Acción, Aventura, Fantasía",423548,Rian Johnson,152,620.18
233,The Hobbit: The Battle of the Five Armies,2014,7.4,"Aventura, Fantasía",423364,Peter Jackson,144,255.12
234,X-Men Origins: Wolverine,2009,6.6,"Acción, Aventura, Ciencia Ficción",421476,Gavin Hood,107,179.88
235,The Hangover Part II,2011,6.5,"Comedia, Misterio",420716,Todd Phillips,102,254.46
236,Guardians of the Galaxy: Vol. 2,2017,7.7,"Acción, Aventura, Comedia",419351,James Gunn,136,389.81
237,The Great Gatsby,2013,7.3,"Drama, Romántica",418727,Baz Luhrmann,143,144.84
238,American Psycho,2000,7.6,"Crimen, Drama",415929,Mary Harron,101,15.07
239,Mission: Impossible - Ghost Protocol,2011,7.4,"Acción, Aventura, Suspenso",414434,Brad Bird,132,209.4
240,Children of Men,2006,7.9,"Drama, Ciencia Ficción, Suspenso",413512,Alfonso Cuarón,109,35.55
241,Hot Fuzz,2007,7.9,"Acción, Comedia",411037,Edgar Wright,121,23.64
242,The Perks of Being a Wallflower,2012,8,"Drama, Romántica",410826,Stephen Chbosky,103,17.74
243,Black Panther,2018,7.4,"Acción, Aventura, Ciencia Ficción",408556,Ryan Coogler,134,700.06
244,The Butterfly Effect,2004,7.7,"Ciencia Ficción, Suspenso",408368,Eric Bress,113,57.94
245,The Hateful Eight,2015,7.8,"Crimen, Drama, Misterio",407794,Quentin Tarantino,187,54.12
246,American Hustle,2013,7.3,"Crimen, Drama",406514,David O. Russell,138,150.12
247,Back to the Future Part II,1989,7.8,"Aventura, Comedia, Ciencia Ficción",406374,Robert Zemeckis,108,118.5
248,Matrix Revolutions,2003,6.7,"Acción, Aventura, Fantasía",404460,Lana Wachowski,129,139.31
249,Edward Scissorhands,1990,7.9,"Drama, Fantasía, Romántica",403576,Tim Burton,105,56.36
250,John Wick,2014,7.3,"Acción, Crimen, Suspenso",403369,Chad Stahelski,101,43.04
251,Mr. & Mrs. Smith,2005,6.5,"Acción, Comedia, Crimen",402146,Doug Liman,120,186.34
252,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,"Aventura, Familiar, Fantasía",401913,David Yates,146,295.98
253,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Comedia,401641,Stanley Kubrick,95,0.28
254,Ex Machina,2014,7.7,"Drama, Misterio, Ciencia Ficción",401039,Alex Garland,108,25.44
255,La La Land,2016,8.1,"Comedia, Drama, Música",400334,Damien Chazelle,128,151.1
256,Little Miss Sunshine,2006,7.8,"Comedia, Drama",399023,Jonathan Dayton,101,59.89
257,Casino,1995,8.2,"Crimen, Drama",398976,Martin Scorsese,178,42.44
258,Thor: Ragnarok,2017,7.9,"Acción, Aventura, Comedia",398937,Taika Waititi,130,315.06
259,Hancock,2008,6.4,"Acción, Drama, Fantasía",397877,Peter Berg,92,227.95
260,The Bourne Supremacy,2004,7.8,"Acción, Misterio, Suspenso",397405,Paul Greengrass,108,176.24
261,Harry Potter and the Half-Blood Prince,2009,7.6,"Aventura, Familiar, Fantasía",394848,David Yates,153,301.96
262,Crash,2004,7.8,"Crimen, Drama, Suspenso",393642,Paul Haggis,112,54.58
263,The Pursuit of Happyness,2006,8,"Biografía, Drama",392405,Gabriele Muccino,117,163.57
264,Warrior,2011,8.2,"Drama, Deportes",392008,Gavin O'Connor,140,13.66
265,Le cinquième élément,1997,7.7,"Acción, Aventura, Ciencia Ficción",390221,Luc Besson,126,63.54
266,Horrible Bosses,2011,6.9,"Comedia, Crimen",390175,Seth Gordon,98,117.54
267,Divergent,2014,6.7,"Acción, Aventura, Misterio",389070,Neil Burger,139,150.95
268,Dallas Buyers Club,2013,8,"Biografía, Drama",388547,Jean-Marc Vallée,117,27.3
269,Lucy,2014,6.4,"Acción, Ciencia Ficción, Suspenso",388048,Luc Besson,89,126.66
270,Indiana Jones and the Temple of Doom,1984,7.6,"Acción, Aventura",387894,Steven Spielberg,118,179.87
271,American Sniper,2014,7.3,"Acción, Biografía, Drama",386975,Clint Eastwood,133,350.13
272,The Wolverine,2013,6.7,"Acción, Aventura, Ciencia Ficción",386792,James Mangold,126,132.56
273,Elysium,2013,6.6,"Acción, Drama, Ciencia Ficción",384864,Neill Blomkamp,109,93.05
274,Nightcrawler,2014,7.9,"Crimen, Drama, Suspenso",383875,Dan Gilroy,117,32.38
275,Sherlock Holmes: A Game of Shadows,2011,7.5,"Acción, Aventura, Crimen",383191,Guy Ritchie,129,186.85
276,Ice Age,2002,7.5,"Animación, Aventura, Comedia",382956,Chris Wedge,81,176.39
277,Big Fish,2003,8,"Aventura, Drama, Fantasía",382426,Tim Burton,125,66.26
