variable,pais_region,codigo_pais_region,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
empleadoras_mujeres,Argentina,ARG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05599999427795,2.46000003814697,3.20499992370605,2.47499990463257,2.3510000705719,2.44899988174438,2.48000001907349,2.43700003623962,2.50999999046326,2.97000002861023,2.47000002861023,1.91499996185303,2.17799997329712,2.36899995803833,2.24900007247925,2.36100006103516,2.55999994277954,2.84999990463257,2.97399997711182,2.90000009536743,2.62100005149841,2.6340000629425,2.44400000572205,2.26200008392334,2.32999992370605,2.37800002098084,2.45300006866455,2.46199989318848
empleadoras_mujeres,Bolivia,BOL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25999999046326,1.26499998569489,1.28199994564056,1.29700005054474,1.31200003623962,1.32400000095367,1.33700001239777,1.35099995136261,1.34399998188019,0.973999977111816,1.34500002861023,1.97899997234344,1.89600002765656,1.82599997520447,2.77600002288818,1.99199998378754,3.06800007820129,3.09899997711182,2.78900003433228,2.88100004196167,2.98300004005432,3.91000008583069,3.16499996185303,4.55399990081787,2.49600005149841,3.04800009727478,1.82599997520447,1.85399997234344
empleadoras_mujeres,Brasil,BRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06200003623962,2.07500004768372,2.12400007247925,2.15899991989136,2.17499995231628,2.22099995613098,2.30399990081787,2.51699995994568,2.41799998283386,2.4779999256134,2.49600005149841,2.73000001907349,2.57100009918213,2.58699989318848,2.6949999332428,2.82500004768372,2.3970000743866,2.96799993515015,2.68400001525879,2.51099991798401,2.29800009727478,2.57800006866455,2.75399994850159,2.74699997901917,2.90700006484985,2.99699997901917,3.20300006866455,3.22000002861023
empleadoras_mujeres,Chile,CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56099998950958,1.62399995326996,1.66199994087219,1.69099998474121,1.74800002574921,1.77400004863739,1.58299994468689,1.61600005626678,1.89300000667572,2.05999994277954,1.90900003910065,1.5460000038147,1.75600004196167,1.91600000858307,1.68700003623962,1.72300004959106,1.70299994945526,1.84099996089935,2.27699995040894,2.84599995613098,2.84699988365173,2.28299999237061,2.51799988746643,2.34699988365173,2.42600011825562,2.32100009918213,2.68199992179871,2.69400000572205
empleadoras_mujeres,Colombia,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12599992752075,2.14499998092651,2.16599988937378,2.17499995231628,2.20600008964539,2.20199990272522,2.22199988365173,2.22199988365173,2.20600008964539,2.24399995803833,2.25799989700317,2.94799995422363,2.64499998092651,2.94300007820129,2.85599994659424,2.78600001335144,2.70700001716614,2.61899995803833,2.71700000762939,2.94400000572205,2.92700004577637,3.01399993896484,2.87199997901917,2.60999989509583,2.59100008010864,2.41400003433228,2.45099997520447,2.47699999809265
empleadoras_mujeres,Costa Rica,CRI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11800003051758,1.75399994850159,2.26699995994568,3.66899991035461,3.22399997711182,4.38399982452393,3.57599997520447,4.01800012588501,4.43900012969971,2.87599992752075,4.90399980545044,4.65199995040894,4.88700008392334,4.37599992752075,4.25099992752075,4.66099977493286,3.98399996757507,4.25899982452393,4.03499984741211,1.71099996566772,1.79999995231628,1.40600001811981,1.87000000476837,1.90900003910065,1.86099994182587,2.31299996376038,2.29699993133545,2.3289999961853
empleadoras_mujeres,Cuba,CUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.370999991893768,0.368000000715256,0.361999988555908,0.360000014305115,0.35699999332428,0.354000002145767,0.34799998998642,0.342000007629395,0.333000004291534,0.331000000238419,0.328000009059906,0.324000000953674,0.319999992847443,0.317999988794327,0.314000010490417,0.314999997615814,0.312000006437302,0.303000003099442,0.294999986886978,0.293999999761581,0.28600001335144,0.312999993562698,0.354999989271164,0.737999975681305,0.732999980449677,0.728999972343445,0.725000023841858,0.720000028610229
empleadoras_mujeres,Ecuador,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48799991607666,4.13100004196167,5.67500019073486,4.95699977874756,4.13100004196167,4.20300006866455,4.47399997711182,4.52899980545044,3.99799990653992,3.62299990653992,3.25099992752075,3.35800004005432,3.42600011825562,3.96199989318848,4.0310001373291,3.86100006103516,3.09100008010864,3.04299998283386,2.30299997329712,2.36700010299683,2.05299997329712,2.3289999961853,1.92700004577637,1.87199997901917,1.86500000953674,2.08999991416931,1.60800004005432,1.63100004196167
empleadoras_mujeres,El Salvador,SLV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82299995422363,2.90199995040894,2.99799990653992,3.17400002479553,3.05399990081787,2.79099988937378,3.17300009727478,3.23600006103516,3.28699994087219,3.32299995422363,3.07299995422363,2.69899988174438,2.88499999046326,2.94700002670288,3.06299996376038,2.92799997329712,3.32100009918213,3.17300009727478,2.99699997901917,3.07100009918213,2.8050000667572,3.31200003623962,3.25699996948242,3.15899991989136,3.19099998474121,2.91400003433228,2.8840000629425,2.91100001335144
empleadoras_mujeres,Guatemala,GTM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54299998283386,1.55900001525879,1.56599998474121,1.57700002193451,1.59300005435944,1.59700000286102,1.61300003528595,1.62800002098083,1.59399998188019,1.55999994277954,1.94000005722046,2.3970000743866,2.93400001525879,2.66499996185303,2.59899997711182,2.54900002479553,2.49300003051758,2.41599988937378,2.33200001716614,2.2739999294281,1.59099996089935,2.63800001144409,2.25200009346008,2.30900001525879,2.57399988174438,2.19400000572205,2.20799994468689,2.22399997711182
